植物,アイアスカイノデ,0,0,0,0,0,0,0,0,0,1,,,,,,,
植物,アイイノモトソウ,,,,,,,,,,1,1,,,,,,
植物,アイイロニワゼキショウ,,,,,,,,,,,1,,,,,,
植物,アイズスゲ,,,,,,,,,,1,,,1,,,,
植物,アイセイタカハハコグサ,,,,,,,,,,,,,,,,1,
植物,アイダクグ,,,,,,,,,,,,,,,,1,
植物,アイダクグ(タイワンヒメクグ),,,,,,,1,,,,,,,,,,
植物,アイトキワトラノオ,,,,,,,,,,,,1,,,,,
植物,アイノコイトモ,,,,,,1,,,,,,,,,,,
植物,アイノコオオアカウキクサ,,,,,,1,,,,,,,,,,,
植物,アイノコクマワラビ,,,,,,,,,,1,,,,,,,
植物,アイノコシラスゲ,,,,,,,,,,1,,,,,,,
植物,アイバソウ,,,,,1,,,,,,,,,,,,
植物,アオイゴケ,,,,,,,,,,,,,,,,1,
植物,アオイスミレ,,,,,,,,,,,1,,,,,,
植物,アオウキクサ,,,,,,1,1,,,,,,,,,,
植物,アオウシノケグサ,,,,,,,,,,,1,,,,,,
植物,アオオニタビラコ,,,,,,,,,,,,1,,,,1,
植物,アオカモジグサ,,,,,,,,,,,,,,,,1,
植物,アオカラムシ,,,,,,,,,,,1,,,,,,
植物,アオガシ,,,1,,,,,,,,,,,,,,
植物,アオガネシダ,1,1,,,,,,,,,,,,,,,
植物,アオガヤツリ,,,,,,,1,,,,,,,,,,
植物,アオキ,,,1,,,,,,,1,,,,,,,
植物,アオギリ,,,,,,,,,,,,,,,,,
植物,アオゲイトウ,,,,,,,,,,,,,,,,1,
植物,アオコウガイゼキショウ,,,,,,1,1,,,,,,,,,,
植物,アオゴウソ,,,,,,,,,,1,,1,,,,,
植物,アオジソ,,,,,,,,,,,,,,,,,
植物,アオスゲ,,,1,,,,,,,,1,,,,,,
植物,アオダモ,,,,,,,,,,,,,,,,,
植物,アオチカラシバ,,,,,,,,,,,1,,,,,1,
植物,アオツヅラフジ,,,,,,,,,,1,1,,,,,1,
植物,アオテンツキ,,,,,,1,,,,,,,,,,,
植物,アオナラガシワ,,,,,,,,,,,1,1,,,,,
植物,アオハダ,,,,,,,,,,1,,,,,,,
植物,アオハリガネワラビ,,,,,,,1,,,1,,,,,,,
植物,アオバスゲ,,,,,,,,,,1,,,,,,,
植物,アオビユ,,,,,,,,,,,1,,,,,,
植物,アオホラゴケ,,1,,,,,,,,1,,,1,,,,
植物,アオミズ,,,,,,1,,,,,,,,,,,
植物,アオミズキ,,,,,,,,,,,,,1,,,,
植物,アオミヤマカンスゲ,,,,,,,,,,,,,,,,,1
植物,アオミヤマトウバナ,,,,,,,1,,,,1,,,,,,
植物,アオモジ,,,,,,,,,,,,,,,,,1
植物,アカイタヤ,,,,,,,,,,,,,1,,,,
植物,アカオニタビラコ,,,,,,,,,,,,,,,,1,
植物,アカカタバミ,,,,,,,,,,,,,,,,1,
植物,アカガシ,,,,,,,,,,,,,1,,,,
植物,アカザ,,,,,,,,,1,,,,,,,,
植物,アカシデ,,,,,,,,,,,1,,1,,,,
植物,アカショウマ,,,,,,,,,,1,,,,,,,
植物,アカジソ,,,,,,,,,,,,1,,,,,1
植物,アカソ,,1,,,,,,,,,,,,,,,
植物,アカツメクサ,,,,,,,,,,,1,,,,,,
植物,アカネ,,,,,,,,,,,,,1,,,,
植物,アカネスミレ,,,,,,,,,,,,,1,,,,
植物,アカバナ,,,,,,,,,,,,,1,,,,
植物,アカマツ,,,,,,,,,,1,,,,,,,
植物,アカミタンポポ,,,,,,,,,,,,1,,,,,
植物,アカミノイヌツゲ,,,,,,,,,,,,,1,,,,
植物,アカメガシワ,,,,,,,,,,1,,,,,,,1
植物,アカメヤナギ,,,,,,1,,,,,,,,,,,
植物,アカメヤナギ(マルバヤナギ),,,,,,1,,,,,1,,,,,,
植物,アキカラマツ,,,,,,,,,,,1,,,,,,
植物,アキギリ,,,,,,,,,,1,,,,,,,
植物,アキグミ,,,1,,,,,,,,,,,,,1,
植物,アキチョウジ,,,,,,,,,,1,,,,,,,
植物,アキニレ,,,1,,,,,,,,1,,,,,,
植物,アキノウナギツカミ,,,,,,1,,,,,,,,,,,
植物,アキノエノコロ,,,,,,,,,,,,,,,,,
植物,アキノエノコログサ,,,,,,,,,1,,,,,,,1,
植物,アキノキリンソウ,,,,,,,,,,1,,,,,,,
植物,アキノギンリョウソウ,,,,,,,,,,1,,,,,,,
植物,アキノタネツケバナ,,,,,,,,,1,,,,,,,,1
植物,アキノタムラソウ,,,,,,,,,,1,,,,,,1,
植物,アキノノゲシ,,,,,,,,,,,1,,,,,,
植物,アキノハハコグサ,,,,,,,,,,,,,1,,,,
植物,アキノミチヤナギ,,,1,,,,,,,,,,,,,,
植物,アキメヒシバ,,,,,,,,,,,1,,,,,1,
植物,アギスミレ,,,,,,1,1,,,,,,,,,,
植物,アクシバ,,,,,,,,,,1,,,,,,,
植物,アケビ,,,,,,,,,,,1,,,,,,
植物,アケボノシュスラン,,,,,,,,,,1,,,,,,,
植物,アケボノスミレ,,,,,,,,,,,,,1,,,,
植物,アケボノソウ,,,,1,1,1,,,,,,,,,,,
植物,アサガオ,,,,,,,,,,,,,,,,1,
植物,アサガラ,,,,,,,,,,,,,1,,,,
植物,アサクラザンショウ,,,,,,,,,,1,,,,,,,
植物,アサツキ,,,1,,,,,,,,1,,,,,,
植物,アシウスギ,,,1,,,,,,,,,,,,,,
植物,アシウテンナンショウ,,,,,,,,,,1,,,,,,,
植物,アシカキ,,,1,,,1,,,,,,,,,,,
植物,アシタバ,,,1,,,,,,,,,,,,,,
植物,アシボソ,,,,,,,1,,,,,,,,,,
植物,アジサイ,,,,,,,,,,,,1,,,,,
植物,アスカイノデ,,,1,,,,,,,,,,,,,,
植物,アズキナシ,,,,,,,,,,,,1,,,,,
植物,アズマカモメヅル,,,,,,1,,,,,,,,,,,
植物,アズマガヤ,,,,,,,,,,,1,,1,,,,
植物,アズマナルコ,,1,1,,,1,,,,,,,,,,,
植物,アズマヤマアザミ,,,,,,,,,,,,,1,,,,
植物,アセビ,,,,,,,,,,1,,,,,,,
植物,アゼオトギリ,,,,,,,1,,,,,,,,,,
植物,アゼガヤ,,,,,,,1,,,,,,,,,,
植物,アゼガヤツリ,,,,,,1,1,,,,,,,,,,
植物,アゼスゲ,,,,,,,,,,1,,,,,,,1
